Epizoda;Prizor;Lokacija;Okoliš?ine;Opis;Liki;Statisti;Igralci;Število strani scenarija
32;32-21;Kemp/Janina Parcela/Pred Avtodomom;DAN-EXT.; JANA SE ZLOMI IN ZAUPA HRVOJU  DA LAHKO IZGUBI VSE. HRVOJE IZVE ZA JANIN HIPOTEKARNI KREDIT.;14 Hrvoje,12 Jana,206 KEMP STANDARD (7);KEMP STANDARD (7);Alen Šalinovi?,Tanja Poto?nik;2 1/4
32;32-22;Lj/Edvardovo Stanovanje/Dnevna Soba;DAN-INT.; EDI DOBI REZULTATE IZ LABORATORIJA. FARMAKOTRADE MU JE PRODAL FARMAKISSOVA ZDRAVILA ZA ODPIS!;3 Edvard,11 David;;Aleš Vali?,Blaž Vali?;2
32;32-23;Lj/Markova Garsonjera/Dnevni Del;DAN-INT.; MARK IN MIA SE ODPRAVLJATA NA MORJE  DA OBUDITA ROMANTIKO MED NJIMA IN POKRPATA SVOJ ODNOS.  ;1 Mark,21 Mia;;Matej Zemlji?,Zala Djuri?;2
32;32-24;Lj/Steinerjeva Klinika/Sprejemnica;DAN-INT.; LARA SE OPRAVI?I DR. MIRTU IN GA PROSI  NAJ JI DA PRILOŽNOST  DA SE MU ODKUPI. ;2 Lara,257 Dr. Mirt;;Gaja Fila?,Žiga Udir;1 1/8
32;32-25;Kemp/Pred recepcijo;DAN-EXT.; HRVOJE ŽELI VEDETI  ALI JE ?RT DOBIL NAZAJ JANIN DENAR. ?RT NE MISLI ODGOVARJATI HRVOJU.  ;14 Hrvoje,194 ?rt,213 KEMP MANJ (3);KEMP MANJ (3);Alen Šalinovi?,Aljaž Tepina;2 1/8
32;32-26;Lj/Edvardovo Stanovanje/Dnevna Soba;DAN-INT.; EDI MORA PRITI DO JULIJINEGA RA?UNALNIKA  DA UGOTOVI  KDO NA FARMAKISSU JE ODGOVOREN ZA UMAZANI POSEL S FARMAKOTRADEOM. ;3 Edvard,11 David;;Aleš Vali?,Blaž Vali?;1
32;32-27;Lj/Bb-Jeva Pisarna;DAN-INT.; ISKANJE KLJU?KA NI OBRODILO SADOV. PE?NIK ZATRJUJE BB-JU  DA JE KLJU?EK VRGEL STRAN. BB RAZMIŠLJA  KAJ NAJ S PE?NIKOM?;19 Bb,15 Pe?nik,349 Varnostnik 1,350 Varnostnik 2;;Valter Dragan,Matija Rupel,Benjamin Be?irevi?,Jasmin Spahic;1 1/8
33;33-01;Lj/Edvardovo Stanovanje/Dnevna Soba;DAN-INT.;EDI NA?RTUJE KRAJO JULIJEVEGA RA?UNALNIKA. DAVID JE KATEGORI?NO PROTI.;3 Edvard,11 David;;Aleš Vali?,Blaž Vali?;1 1/2
33;33-02;Lj/Bb-Jeva Pisarna;DAN-INT.;PE?NIK LAŽE BB-JU  DA NIMA USB KLJU?KA SAMO ŠIROKOUSTIL SE JE  DA BI POLOŽIL SANJO.;19 Bb,15 Pe?nik;;Valter Dragan,Matija Rupel;1 3/8
33;33-03;Lj/Steinerjeva Klinika/Sprejemnica;DAN-INT.;LARA IMA SLABO VEST  KER JE PUSTILA MIRTA NA CEDILU  DR. MIRT PA HLADNOKRVNO ZAVRA?A VSA OPRAVI?ILA.;2 Lara,257 Dr. Mirt;;Gaja Fila?,Žiga Udir;1 3/8
33;33-04;Kemp/Pot ?ez Kemp;DAN-EXT.;HRVOJEV POGOVOR S ?RTOM SE KON?A KRVAVO.;14 Hrvoje,194 ?rt,206 KEMP STANDARD (7);KEMP STANDARD (7);Alen Šalinovi?,Aljaž Tepina;2 3/8
33;33-05;Lj/Edvardovo Stanovanje/Dnevna Soba;DAN-INT.;DAVID IMA BOLJŠO IDEJO  KAKO PRITI DO DNA NAVEZI FARMAKISS/ FARMAKOTRADE.;3 Edvard,11 David;;Aleš Vali?,Blaž Vali?;2 1/4
33;33-06;Lj/Bb-Jeva Pisarna;DAN-INT.;BB ZAGROZI PE?NIKU - ?E BO PE?NIK SPLETKARIL PROTI NJEMU  GA BO BB NAMO?IL ZA STANETOV UMOR.;19 Bb,15 Pe?nik;;Valter Dragan,Matija Rupel;1 1/2
33;33-07;Kemp/Bar Na Plaži;DAN-EXT.;DINA NI NIKJER IN SAŠKA JE SAMA NA DAN NJUNE OBLETNICE.;1 Mark,21 Mia,5 Saška,6OFF Meri Off,206 KEMP STANDARD (7);KEMP STANDARD (7);Matej Zemlji?,Zala Djuri?,Mila Peršin,Vesna Pernar?i?;2 3/8
33;33-08;Kemp/Janina Parcela/Pred Avtodomom;DAN-EXT.;JANA IZVE OD ?RTA  DA JIH JE FASAL OD HRVOJA.;12 Jana,194 ?rt,213 KEMP MANJ (3);KEMP MANJ (3);Tanja Poto?nik,Aljaž Tepina;2 1/8
33;33-09;Kemp/Recepcija;DAN-INT.;HRVOJE JIH ZARADI ?RTA SLIŠI OD JANE - NJUNEGA PRIJATELJSTVA JE KONEC.;14 Hrvoje,12 Jana;;Alen Šalinovi?,Tanja Poto?nik;2
33;33-10;Lj/Edvardovo Stanovanje/Jedilnica;DAN-INT.;EDI IN DAVID VDIRATA V FAMAKISSOV SISTEM  KO JU PRESENTI TRKANJE NA VRATIH.;3 Edvard,11 David;;Aleš Vali?,Blaž Vali?;1 3/4
33;33-11;Kemp/Stanetova Parcela/Pred Prikolico;DAN-EXT.;FANTA BOSTA KON?NO ŠLA NA RIBIŠKI IZLET.;14 Hrvoje,7 Frenk,213 KEMP MANJ (3);KEMP MANJ (3);Alen Šalinovi?,Gaber Trseglav;1 1/2
33;33-12;Kemp/Bar Na Plaži;DAN-EXT.;DINO PRESENETI SAŠKO S PRELEPIM DARILOM ZA OBLETNICO. TUDI MARK IN MIA NA?RTUJETA ROMANTI?NI VE?ER.;1 Mark,21 Mia,4 Dino,5 Saška,206 KEMP STANDARD (7);KEMP STANDARD (7);Matej Zemlji?,Zala Djuri?,Matino Antunovi?,Mila Peršin;3 3/8
33;33-13;Lj/Pe?nikova Pisarna;DAN-INT.;PE?NIK PANI?NO KLI?E OPERATIVCA  A ŠTEVILKA NE OBSTAJA.;15 Pe?nik;;Matija Rupel; 3/8
33;33-14;Lj/Edvardovo Stanovanje/Predsoba;DAN-INT.;EDVARDA SREDI HEKANJA V FARMAKISS ZMOTI JULIJA Z NOVINARKO  KI JE PRIŠLA NAREDIT INTERVJU Z EDVARDOM.;3 Edvard,10 Julija,351 Novinarka;;Aleš Vali?,Sabina Kogovšek,Eva Jurko;2 1/8
33;33-15;Lj/Steinerjeva Klinika/Pisarna/Ordinacija;DAN-INT.;LARA SE POSKUŠA POGOVORITI Z DR. MIRTOM. LEON NIMA ?ASA ZA LARO.;2 Lara,257 Dr. Mirt;;Gaja Fila?,Žiga Udir;1 1/4
33;33-16;Kemp/Ex-Renatova Parcela;DAN-EXT.;SAŠKA NE NAJDE FRENKA  DA BI PAZIL NA TONIJA. DINO BO NAMESTO NJEGA ANGAŽIRAL HRVOJA.;4 Dino,5 Saška,213 KEMP MANJ (3);KEMP MANJ (3);Matino Antunovi?,Mila Peršin;1 5/8
33;33-17;Lj/Edvardovo Stanovanje/Dnevna Soba;DAN-INT.;EDI JE NA TRNIH  DA JULIJA NE BI ODKRILA DAVIDA SREDI HEKANJA  AMPAK... DAVIDA NI.;3 Edvard,10 Julija,351 Novinarka;;Aleš Vali?,Sabina Kogovšek,Eva Jurko;1
33;33-18;Lj/Markova Garsonjera/Dnevni Del;DAN-INT.;DAVID SE JE SREDI HEKANJA PRED JULIJO SKRIL V MARKOVO GARSONJERO.;11 David;;Blaž Vali?; 3/8
33;33-19;Kemp/Janina Parcela/Avtodom;DAN-INT./EXT.;?RT OBLJUBI  DA BO ŠEL OSEBNO NA CSU REŠIT FINAN?NO SITUACIJO.;12 Jana,194 ?rt;;Tanja Poto?nik,Aljaž Tepina;2 1/4
33;33-20;Kemp/Recepcija;DAN-INT.;TUDI HRVOJA NI - DINO IN SAŠKA STA OSTALA BREZ VARSTVA ZA TONIJA.;4 Dino;;Matino Antunovi?; 5/8
33;33-21;Lj/Steinerjeva Klinika/Sprejemnica;DAN-INT.;"MIRT PRESENETI LARO Z ""NAVODILI"" ZA NJUN NASLEDNJI ZMENEK.";2 Lara,18OFF Nina Off,257 Dr. Mirt;;Gaja Fila?,Melani Mekicar,Žiga Udir;2 1/4
33;33-22;Kemp/Naravna plaža;DAN-EXT.;MARK IN MIA UŽIVATA ROMANTI?NO POPOLDNE IN NA?RTUJETA ŠE BOLJ ROMANTI?EN VE?ER.;1 Mark,21 Mia,206 KEMP STANDARD (7);KEMP STANDARD (7);Matej Zemlji?,Zala Djuri?;1 7/8
33;33-23;Lj/Edvardovo Stanovanje/Dnevna Soba;DAN-INT.;EDI IN JULIJA  O?E IN H?I  SE PRED NOVINARKO 100% PODPIRATA.;3 Edvard,10 Julija,351 Novinarka;;Aleš Vali?,Sabina Kogovšek,Eva Jurko;2 1/2
33;33-24;Lj/Markova Garsonjera/Dnevni Del;DAN-INT.;DAVID UGOTOVI  DA JE JULIJA PODPISNICA ODPISANIH ZDRAVIL.;11 David;;Blaž Vali?; 3/8
33;33-25;Kemp/Klubska soba;DAN-INT.;SAŠKA IN DINO POTREBUJETA USLUGO - BI MARK IN MIA PAZILA TONIJA  DA GRESTA ONADVA LAHKO NA KONCERT?;1 Mark,21 Mia,4 Dino,5 Saška;;Matej Zemlji?,Zala Djuri?,Matino Antunovi?,Mila Peršin;2 1/8
33;33-26;Lj/Bb-Jeva Pisarna;DAN-INT.;BB SE ODLO?I SPRAVIT SVOJEGA ?LOVEKA (RENATA) IZ ZAPORA.;19 Bb;;Valter Dragan; 5/8
34;34-01;Kemp/Edvardova parcela/Prikolica;DAN-INT./EXT.;MIA IN MARK STA IZ?RPANA PO NEPRESPANI NO?I IN SKRBI ZA TONIJA. KON?NO JU ODREŠI SAŠKIN PRIHOD.;1 Mark,21 Mia,5 Saška;;Matej Zemlji?,Zala Djuri?,Mila Peršin;1 3/4
34;34-02;Lj/Edvardovo Stanovanje/Dnevna Soba;DAN-INT.; DAVID ŽE NAVSEZGODAJ PRIDE DO EDIJA. DAVID JE ODKRIL  KDO NA FARMAKISSU JE ODGOVOREN ZA SUMLJIVE POSLE S FARMAKOTRADEOM. ;3 Edvard,11 David;;Aleš Vali?,Blaž Vali?;1 3/4
34;34-03;Kemp/Edvardova parcela/Prikolica;DAN-INT./EXT.;MII PO CELONO?NEM UKVARJANJU Z DOJEN?KOM NI DO MARKOVIH NEŽNOSTI. POTREBUJE SPANEC.;1 Mark,21 Mia,5OFF Saška Off;;Matej Zemlji?,Zala Djuri?,Mila Peršin;1 1/4
34;34-04;Kemp/Janina Parcela/Avtodom;DAN-INT./EXT.;JANA BI ŠLA S ?RTOM V LJUBLJANO. ?RT JO PREPRI?A  DA JE BOLJE  DA UREDI SAM S CSU.;12 Jana,194 ?rt;;Tanja Poto?nik,Aljaž Tepina;1 7/8
34;34-05;Lj/Edvardovo Stanovanje/Jedilnica;DAN-INT.; EDVARD MORA PRITI DO JULIJINEGA RA?UNALNIKA  DA SE PREPRI?A  ALI JULIJA RES STOJI ZA UMAZANIM POSLOM S FARMAKOTRADEOM. ;3 Edvard,11 David;;Aleš Vali?,Blaž Vali?;3 5/8
34;34-06;Kemp/Edvardova parcela/Pred prikolico;DAN-EXT.; JUTRANJA KAVA VRNE MII ŽELJO PO ROMANTIKI. ;1 Mark,21 Mia,206 KEMP STANDARD (7);KEMP STANDARD (7);Matej Zemlji?,Zala Djuri?;1 3/4
34;34-07;Kemp/Janina Parcela/Pred Avtodomom;DAN-EXT.; ?RT SE POSLOVI OD JANE  KI NE SLUTI  DA JO ?AKA NOV UDAREC.;12 Jana,194 ?rt,206 KEMP STANDARD (7);KEMP STANDARD (7);Tanja Poto?nik,Aljaž Tepina;2 3/8
34;34-08;Lj/Nadino Stanovanje/Kuhinja;DAN-INT.; NADA DOBI NENAVADEN KLIC. LARA PA SE MORA UREDITI ZA ZMENEK Z DR. MIRTOM. ;2 Lara,13 Nada;;Gaja Fila?,Aleksandra Balmazovi?;1 1/2
34;34-09;Kemp/Edvardova parcela/Prikolica;DAN-INT./EXT.;MIIN IN MARKOV PETELINJI ZAJTRK ZMOTI DINO  KI JU V ZAHVALO ZA VARSTVO POVABI NA KOSILO.;1 Mark,21 Mia,4 Dino;;Matej Zemlji?,Zala Djuri?,Matino Antunovi?;1 1/2
34;34-10;Lj/Julijino Stanovanje/Kuhinja;DAN-INT.; EDI BI SI SPOSODIL JULIJIN PRENOSNIK. JULIJA GA POTREBUJE. ;3 Edvard,10 Julija;;Aleš Vali?,Sabina Kogovšek;1 3/8
34;34-11;Lj/Dolen?evo Stanovanje/Jedilnica;DAN-INT.;ERIKA BI POBEGNILA ŽALOSTI IN ODŠLA S SANJO V AMERIKO. SANJA NE GRE V AMERIKO  DOKLER TU NE PORAVNA RA?UNOV.;252 Erika,258 Sanja;;Bernarda Oman,Nina Rakovec;2 1/8
34;34-12;Lj/Julijino Stanovanje/Jedilnica;DAN-INT.;EDVARD JE POLIL JULIJIN PRENOSNIK S KAVO. JULIJA JE OBUPANA. EDI JI ZAGOTOVI  DA BO POPRAVIL ŠKODO.;3 Edvard,10 Julija;;Aleš Vali?,Sabina Kogovšek;1
34;34-13;Kemp/Restavracija;DAN-INT.;SAŠKA IN DINO SE NA SKUPNEM KOSILU NAVDUŠUJETA NAD STARŠEVSTVOM. MIA JE ODLO?ENA  DA NE BO IMELA OTROK.;1 Mark,21 Mia,4 Dino,5 Saška;;Matej Zemlji?,Zala Djuri?,Matino Antunovi?,Mila Peršin;3 1/8
34;34-14;Kemp/Naravna plaža;DAN-EXT.;JANA SE POSKUŠA ZAMOTITI Z RISANJEM  A JE PREVE? NA TRNIH. POKLI?E ?RTA  KI PA IMA ZANJO SLABO NOVICO.;12 Jana,194OFF ?rt Off,213 KEMP MANJ (3);KEMP MANJ (3);Tanja Poto?nik,Aljaž Tepina;1 1/4
34;34-15;Lj/Julijino Stanovanje/Jedilnica;DAN-INT.; DAVID JE PRIŠEL POPRAVIT JULIJIN PRENOSNIK. EDI MU NARO?I  NAJ NA KLJU?EK SKOPIRA SPORNE JULIJINE POGODBE. ;3 Edvard,10 Julija,11 David;;Aleš Vali?,Sabina Kogovšek,Blaž Vali?;1 7/8
34;34-16;Kemp/Restavracija;DAN-INT.; PRIJETNEGA KOSILA JE KONEC  KO MARK POVE MII O SVOJIH DOBRODELNIH NA?RTIH SKUPAJ Z LARO. MIA JEZNA ODIDE. ;1 Mark,21 Mia,4 Dino,5 Saška;;Matej Zemlji?,Zala Djuri?,Matino Antunovi?,Mila Peršin;3 5/8
34;34-17;Lj/Nadino Stanovanje/Spalnica;DAN-INT.; NADA POMAGA LARI IZBRATI OBLEKO ZA ZMENEK Z DR. MIRTOM. LARA JE VSE MANJ NAVDUŠENA NAD ZMENKOM. ;2 Lara,13 Nada;;Gaja Fila?,Aleksandra Balmazovi?;1 1/2
34;34-18;Lj/Bistro Lotus/Separe;DAN-INT.;SANJA JE JEZNA  KER EDI O?ITNO ZMAGUJE V TEKMI ZA MINISTRSKI STOL?EK. Z BB-JEM GA MORATA USTAVITI!;19 Bb,258 Sanja,298 LOTUS A 6x 6.4.;LOTUS A 6x 6.4.;Valter Dragan,Nina Rakovec;1
34;34-19;Kemp/Naravna plaža;DAN-EXT.; JANA POKLI?E DIREKTORICO CSU IN ŠOKIRANA SPOZNA  DA DIREKTORICA NE VE NI? O NJENEM IN ?RTOVEM PROJEKTU. ;12 Jana,213 KEMP MANJ (3);KEMP MANJ (3);Tanja Poto?nik;1 5/8
34;34-20;Kemp/Restavracija;DAN-INT.; DINO IN SAŠKA OPRAVLJATA MARKA IN MIO. SAŠKA JE PREPRI?ANA  DA NJUNA VEZA NE BO VE? DOLGO TRAJALA. ;4 Dino,5 Saška;;Matino Antunovi?,Mila Peršin;1 7/8
34;34-21;Kemp/Edvardova parcela/Pred prikolico;DAN-EXT.; MIIN IN MARKOV ROMANTI?NI VIKEND SE KON?A S PREPIROM. ;1 Mark,21 Mia,206 KEMP STANDARD (7);KEMP STANDARD (7);Matej Zemlji?,Zala Djuri?;1 1/2
34;34-22;Lj/Nadino Stanovanje/Vhodna Veža;DAN-INT.; LARA NAVDUŠI LEONA Z ELEGANTNIM VIDEZOM. LEON PA PRESENETI LARO Z DARILOM. ;2 Lara,257 Dr. Mirt;;Gaja Fila?,Žiga Udir;1
34;34-23;Lj/Julijino Stanovanje/Jedilnica;DAN-INT.; DAVID KOPIRA JULIJINE DOKUMENTE  KO SE IZ KOPALNICE PREKMALU VRNE JULIJA. DAVIDA ODREŠI HIŠNI ZVONEC.;10 Julija,11 David;;Sabina Kogovšek,Blaž Vali?;1
34;34-24;Lj/Bistro Lotus/Separe;DAN-INT.; SANJA PREDLAGA BB-JU  DA NASTAVITA EDVARDU AFERO.;19 Bb,258 Sanja,202 Natakar,298 LOTUS A 6x 6.4.;Natakar,LOTUS A 6x 6.4.;Valter Dragan,Nina Rakovec;1 1/8
34;34-25;Lj/Vila/Vhodna Veža s Stopniš?em;DAN-INT.; JULIJO NA VRATIH PRESENETI - PE?NIK!  ;10 Julija,15 Pe?nik;;Sabina Kogovšek,Matija Rupel; 5/8
35;35-01;Kemp/Edvardova parcela/Pred prikolico;DAN-EXT.;MIA HO?E PO HITREM POSTOPKU NAZAJ V LJUBLJANO. MARK JI NERAD USTREŽE.;1 Mark,21 Mia,206 KEMP STANDARD (7);KEMP STANDARD (7);Matej Zemlji?,Zala Djuri?;1
35;35-02;Lj/Nadino stanovanje/Jedilnica;DAN-INT.;LARA JE PRESENE?ENA NAD MIRTOVIM DARILOM. LEON SE PA ZABAVA - ?AS JE  DA SE MU LARA ODKUPI.;2 Lara,257 Dr. Mirt;;Gaja Fila?,Žiga Udir;1 7/8
35;35-03;Lj/Vila/Vhodna Veža s Stopniš?em;DAN-INT.;PE?NIK BI SODELOVAL Z JULIJO  A GA ONA ZAVRNE.;10 Julija,15 Pe?nik;;Sabina Kogovšek,Matija Rupel;2 1/4
35;35-04;Lj/Julijino Stanovanje/Dnevna Soba;DAN-INT.;DAVIDU LE USPE PREKOPIRATI DATOTEKE Z JULIJINEGA RA?UNALNIKA.;10 Julija,11 David;;Sabina Kogovšek,Blaž Vali?;2 1/2
35;35-05;Lj/Nadino stanovanje/Jedilnica;DAN-INT.;LARA ZBADA LEONA  ZATO ON PREVZAME POBUDO PRI KUHANJU.;2 Lara,257 Dr. Mirt;;Gaja Fila?,Žiga Udir;2 1/4
35;35-06;Lj/Edvardovo Stanovanje/Dnevna Soba;DAN-INT.;DAVID EDIJU PRINESE USB KLJU? Z DATOTEKAMI Z JULIJINEGA RA?UNALNIKA.;3 Edvard,11 David;;Aleš Vali?,Blaž Vali?;1 1/4
35;35-07;Lj/Markova Garsonjera/Dnevni Del;DAN-INT.;MARK IN MIA STA ZAVITA V MOLK - TAKO HUDO MED NJIMA ŠE NI BIL;1 Mark,21 Mia;;Matej Zemlji?,Zala Djuri?; 3/4
35;35-08;Lj/Nadino Stanovanje/Kuhinja;DAN-INT.;LARA IN MIRT IMATA POVSEM NASPROTNA PRISTOPA H KUHANJU (IN BRŽKONE ŽIVLJENJU)  A SE PRESENETLJIVO DOBRO DOPOLNJUJETA.;2 Lara,257 Dr. Mirt;;Gaja Fila?,Žiga Udir;3
35;35-09;Lj/Edvardovo Stanovanje/Dnevna Soba;DAN-INT.;EDVARD ODKRIJE SUMLJIVO NESKLADJE V FARMAKISSOVIH DOKUMENTIH  KI JIH PODPISUJE JULIJA.;3 Edvard,11 David;;Aleš Vali?,Blaž Vali?;2 5/8
35;35-10;Kemp/Naravna plaža;DAN-EXT.;JANA SE JEZI NA ?RTA  KI SE JI NE JAVLJA.;12 Jana,213 KEMP MANJ (3);KEMP MANJ (3);Tanja Poto?nik; 1/2
35;35-11;Lj/Nadino stanovanje/Jedilnica;DAN-INT.;LEON POKAŽE SVOJO RANLJIVO PLAT IN RAZKRIJE SVOJ KME?KI BACKGROUND.;2 Lara,257 Dr. Mirt;;Gaja Fila?,Žiga Udir;2 7/8
35;35-12;Lj/Markova Garsonjera/Dnevni Del;DAN-INT.;MIA SE NI PRIPRAVLJENA POGOVARJATI Z MARKOM  KI SKUŠA ZGLADITI TRENUTNO KRIZNO STANJE MED NJIMA.;1 Mark,21 Mia;;Matej Zemlji?,Zala Djuri?;1 3/8
35;35-13;Lj/Edvardovo Stanovanje/Dnevna Soba;DAN-INT.;EDI JE PRED HUDO DILEMO MINISTRSKI STOL?EK ALI H?I?;3 Edvard,11 David;;Aleš Vali?,Blaž Vali?;1 3/4
35;35-14;Lj/Markova Garsonjera/Dnevni Del;DAN-INT.;MIA ODIDE DO ŽANA  PUSTI MARKA SAMEGA.;1 Mark,21 Mia;;Matej Zemlji?,Zala Djuri?;2 1/8
35;35-15;Lj/Edvardovo Stanovanje/Dnevna Soba;DAN-INT.;JULIJA SE VESELI EDIJEVEGA SKORAJŠNJEGA MINISTROVANJA  KO JO EDI PRESENETI Z ODLO?ITVIJO  DA ODSTOPA OD KANDIDATURE.;3 Edvard,10 Julija;;Aleš Vali?,Sabina Kogovšek;2 1/4
35;35-16;Kemp/Recepcija;DAN-INT.;JANA IŠ?E HRVOJA. PRODALA BI AVTODOM IN ODPOVEDALA PAVŠAL. DINO JE PRESENE?EN  DA JE JANA ŠE V KEMPU.;12 Jana,4 Dino;;Tanja Poto?nik,Matino Antunovi?;1 1/2
35;35-17;Lj/Edvardovo Stanovanje/Jedilnica;DAN-INT.;JULIJA PREPRI?UJE EDIJA  NAJ SE S SVOJIM ODSTOPOM OD KANDIDATURE ZA MINISTRA NE PRENAGLI. MOGO?E IMA ONA REŠITEV!;3 Edvard,10 Julija;;Aleš Vali?,Sabina Kogovšek;2 1/2
35;35-18;Lj/Bb-Jeva Pisarna;DAN-INT.;BB JE OSVOBODIL RENATA IZ ZAPORA.;19 Bb,9 Renato;;Valter Dragan,Primož Vrhovec; 7/8
35;35-19;Lj/Nadino stanovanje/Jedilnica;DAN-INT.;DR. MIRTU JE NEPRIJETNO  LARA JE PA NAVDUŠENA NAD NJEGOVO ZGODOVINO.;2 Lara,257 Dr. Mirt;;Gaja Fila?,Žiga Udir;3 5/8
35;35-20;Lj/Edvardovo Stanovanje/Dnevna Soba;DAN-INT.;SANJA JE PRIŠLA DO EDVARDA Z IZGOVOROM  DA POTREBUJE POGOVOR IN TOLAŽBO.;3 Edvard,258 Sanja;;Aleš Vali?,Nina Rakovec;1 3/8
35;35-21;Lj/Nadino Stanovanje/Vhodna Veža;DAN-INT.;MARK JE PRIŠEL ISKAT TOLAŽBO K LARI. A UGOTOVI  DA NI SAMA.;2 Lara,1 Mark,257 Dr. Mirt;;Gaja Fila?,Matej Zemlji?,Žiga Udir; 5/8
35;35-22;Lj/Bistro Lotus;DAN-INT.;MIA IN ŽAN SE DOBITA NA KOSILU.;21 Mia,253 Žan,209 STATISTI LOTUS A 6x 9.4.,367 Natakar;STATISTI LOTUS A 6x 9.4.;Zala Djuri?,Domen Novak,Dario Noži? Serini Dacho;1 1/8
35;35-23;Lj/Pe?nikova Pisarna;DAN-INT.;PE?NIK DOBI JULIJIN KLIC.;15 Pe?nik;;Matija Rupel; 1/2
35;35-24;Lj/Bb-Jeva Pisarna;DAN-INT.;BB IMA ZA RENATA NALOGO;19 Bb,9 Renato;;Valter Dragan,Primož Vrhovec;1
35;35-25;Kemp/Janina parcela;DAN-EXT.;JANA NA POVSEM IZPRAZNJENI PARCELI UGOTOVI  DA JO JE ?RT PUSTIL SAMO IN BREZ VSEGA.;12 Jana,213 KEMP MANJ (3);KEMP MANJ (3);Tanja Poto?nik; 3/8
36;36-01;Lj/Nadino Stanovanje/Vhodna Veža;DAN-INT.;MIRT POVABI MARKA  DA SE JIMA Z LARO PRIDRUŽI PRI KOSILU.;2 Lara,1 Mark,257 Dr. Mirt;;Gaja Fila?,Matej Zemlji?,Žiga Udir; 7/8
36;36-02;Kemp/Janina parcela;DAN-EXT.;ZLOMLJENA JANA BI POKLICALA LARO  A SI PREMISLI. JANA JE OBUPANA IN SAMA.;12 Jana,213 KEMP MANJ (3);KEMP MANJ (3);Tanja Poto?nik; 3/8
36;36-03;Kemp/Pot ?ez Kemp;DAN-EXT.;FANTA SE VRNETA Z RIBIŠKEGA IZLETA SPRTA. HRVOJE IMA DOVOLJ FRENKOVEGA TARNANJA ZARADI MERI - NAJ FRENK KAJ UKRENE!;14 Hrvoje,7 Frenk,206 KEMP STANDARD (7);KEMP STANDARD (7);Alen Šalinovi?,Gaber Trseglav;1 7/8
36;36-04;Lj/Edvardovo Stanovanje/Dnevna Soba;DAN-INT.;SANJA IGRA PRED EDIJEM ZLOMLJENO H?ERKO  A O?ITNO K EDIJU NI PRIŠLA PO TOLAŽBO. KAJ NAKLEPA SANJA?;3 Edvard,258 Sanja;;Aleš Vali?,Nina Rakovec;2 5/8
36;36-05;Lj/Nadino stanovanje/Jedilnica;DAN-INT.;LARA IMA IDEJO ZA MARKOV DOBRODELNI PROJEKT. IN NOVEGA ?LANA  KI JIMA BO POMAGAL.;2 Lara,1 Mark,257 Dr. Mirt;;Gaja Fila?,Matej Zemlji?,Žiga Udir;1 3/4
36;36-06;Lj/Bistro Lotus;DAN-INT.;MIA POTOŽI ŽANU  DA JE VSE BOLJ NEZADOVOLJNA Z MARKOM. ŽAN JE RAZUMEVAJO?. GA ZANIMAJO MIINI NA?RTI ZA PRIHODNOST.;21 Mia,253 Žan,209 STATISTI LOTUS A 6x 9.4.;STATISTI LOTUS A 6x 9.4.;Zala Djuri?,Domen Novak;2 3/8
36;36-07;Lj/Edvardovo Stanovanje/Dnevna Soba;DAN-INT.;EDVARD ZAUPA SANJI  DA IMA SLABO VEST  KER JE PIL S STANETOM. A JE PREPRI?AN  DA JE BIL STANE UMORJEN.;3 Edvard,258 Sanja;;Aleš Vali?,Nina Rakovec;2 3/4
36;36-08;Kemp/Recepcija;DAN-INT.;HRVOJE IZVE  DA JE ?RT ZAPUSTIL KEMP IN JANO. HRVOJE GRE TOLAŽIT JANO.;14 Hrvoje,4 Dino;;Alen Šalinovi?,Matino Antunovi?;1 1/2
36;36-09;Kemp/Kova?eva Parcela/Pred Prikolico;DAN-EXT.;FRENK SE VRA?A V LJUBLJANO  DA UREDI Z MERI. SAŠKA JE VESELA. UPA  DA SE BOSTA STARŠA KON?NO POBOTALA.;7 Frenk,5 Saška,213 KEMP MANJ (3);KEMP MANJ (3);Gaber Trseglav,Mila Peršin;2 5/8
36;36-10;Lj/Edvardovo Stanovanje/Dnevna Soba;DAN-INT.;SANJO ZANIMA  ALI IMA EDI KAKŠNE DOKAZE  DA JE BB UMORIL NJENEGA O?ETA? EDI JIH NIMA.;3 Edvard,258 Sanja;;Aleš Vali?,Nina Rakovec;1 3/8
36;36-11;Lj/Bistro Lotus;DAN-INT.;ŽAN PONUDI MII SLUŽBO NA DENTALNI KLINIKI SVOJEGA O?ETA.;21 Mia,253 Žan,209 STATISTI LOTUS A 6x 9.4.;STATISTI LOTUS A 6x 9.4.;Zala Djuri?,Domen Novak;2 1/2
36;36-12;Lj/Pasaža/Lokal;DAN-INT.;NINA ?AKA ŽANA  KI JE O?ITNO POZABIL NANJO.;18 Nina,23 Borut,207 NI STATISTOV;NI STATISTOV;Melani Mekicar,Miha Rodman;2 7/8
36;36-13;Lj/Nadino stanovanje/Jedilnica;DAN-INT.;LARA FANTOMA PREDSTAVI SVOJO IDEJO O TERAPEVTSKIH VRTI?KIH. LEON SE PONUDI  DA PRISKRBI ZEMLJIŠ?E. MARK SE PO?UTI ODVE?.;2 Lara,1 Mark,257 Dr. Mirt;;Gaja Fila?,Matej Zemlji?,Žiga Udir;3 1/4
