Epizoda;Prizor;Lokacija;Okoliš?ine;Opis;Liki;Statisti;Igralci;Število strani scenarija
2;02-May;Lj/Pe?nikova Pisarna;DAN-INT.; PE?NIKA ZASKRBI  DA JE PREHITRO NA LASTNO PEST AKTIVIRAL OPERATIVCA. BI VENDARLE PO?AKAL NA ŠEFOV BLAGOSLOV.  ;15 Pe?nik,39 Tajnica;;Matija Rupel,Vesna Ponorac;1 5/8
2;02-Jun;Lj/Kova?eva Mesnica;DAN-INT.; SAŠKA DINU O?ITA FLIRTANJE Z NINO. DINO POBESNI  KER JE SIT DELA V MESNICI IN HO?E TAKOJ NAZAJ NA MORJE.;4 Dino,5 Saška,1001 Dojen?ek,217 pasaža standard (3) - B;pasaža standard (3) - B;Matino Antunovi?,Mila Peršin,Dane Pevc;1 7/8
2;02-Jul;Lj/Julijino Stanovanje/Dnevna Soba;DAN-INT.; BB MANIPULIRA Z JULIJIMI ?USTVI  DA BI SI ZAGOTOVIL NJENO POMO?. ;10 Julija,19 Bb;;Sabina Kogovšek,Valter Dragan;2 3/8
2;02-Aug;Kemp/Pred recepcijo;DAN-EXT.; MARKA OB PRIHODU V KEMP PREPLAVIJO NEPRIJETNI SPOMINI. MIO PA ZASKRBI  DA MARK ŠE NI PREBOLEL LARE.;1 Mark,21 Mia,203 KEMP VE? (15);KEMP VE? (15);Matej Zemlji?,Zala Djuri?;1 3/4
2;02-Sep;Lj/Pe?nikova Pisarna;DAN-INT.; PE?NIK JE RAZDRAŽEN ZARADI ŠTEVILNIH ODPOVEDI. GA MIKA  DA BI VENDARLE POSLAL OPERATIVCA NAD MINISTRA.  ;15 Pe?nik;;Matija Rupel;1 1/2
2;02-Oct;Lj/Julijino Stanovanje/Dnevna Soba;DAN-INT.;BB IN JULIJA STA IZ?RPANA PO STRASTNEM SEKSU  KO BB DOBI PE?NIKOV KLIC. BB GA IGNORIRA.;10 Julija,19 Bb;;Sabina Kogovšek,Valter Dragan;1 1/2
2;02-Nov;Kemp/Pred recepcijo;DAN-EXT.; MIA JE ZARADI MARKOVEGA MOLKA PREPRI?ANA  DA VENDARLE ŠE NI PREBOLEL LARE. EDVARD JU ZMOTI  PREDEN LAHKO RAZ?ISTITA.;1 Mark,21 Mia,3 Edvard,203 KEMP VE? (15);KEMP VE? (15);Matej Zemlji?,Zala Djuri?,Aleš Vali?; 7/8
2;02-Dec;Lj/Kozmeti?ni Salon/Sprejemnica;DAN-INT.; SAŠKA SE PO PREPIRU Z DINOM ZATE?E PO TOLAŽBO K MERI. ;5 Saška,6 Meri,200 pasaža standard (3),205 Stranka,1000 Vozi?ek;pasaža standard (3),Stranka;Mila Peršin,Vesna Pernar?i?;2 1/8
2;Feb-13;Kemp/Bar Na Plaži;DAN-EXT;V BARU NA PLAŽI HRVOJE PRIPRAVLJA ZAKUSKO  DA PROSLAVIJO MARKOVO OPROSTITEV.;1 Mark,21 Mia,14 Hrvoje,3 Edvard,7 Frenk,206 KEMP STANDARD (7);KEMP STANDARD (7);Matej Zemlji?,Zala Djuri?,Alen Šalinovi?,Aleš Vali?,Gaber Trseglav;1 7/8
2;Feb-14;Kemp/Janina Parcela/Pred Avtodomom;DAN-EXT.; ?RT JE DOBRE VOLJE ZARADI NOVICE O NAKUPU VASICE. JANO PA ZASKRBI  KJE BOSTA DOBILA DENAR ZA ARO. ;12 Jana,194 ?rt,206 KEMP STANDARD (7);KEMP STANDARD (7);Tanja Poto?nik,Aljaž Tepina;2 1/2
2;Feb-15;Lj/Kozmeti?ni Salon/Sprejemnica;DAN-INT.;Saška je v offu povedala Meri  da v Borutovem lokalu dela - Nina. Meri presene?eno gleda Saško.;5 Saška,6 Meri,200 pasaža standard (3),1000 Vozi?ek;pasaža standard (3);Mila Peršin,Vesna Pernar?i?;2 3/8
2;Feb-16;Kemp/Bar Na Plaži;DAN-EXT.;HRVOJE SANJARI O DVOJNI POROKI V KEMPU. MARK IN MIA PA STA VSAK V SVOJIH SKRBEH. MIA MISLI  DA MARK NI PREBOLEL LARE.;1 Mark,21 Mia,14 Hrvoje,3 Edvard,7 Frenk,206 KEMP STANDARD (7);KEMP STANDARD (7);Matej Zemlji?,Zala Djuri?,Alen Šalinovi?,Aleš Vali?,Gaber Trseglav;2 3/8
2;Feb-17;Lj/Kova?eva Mesnica;DAN-INT.; SAŠKA SE OPRAVI?I DINU ZA LJUBOSUMNI IZBRUH IN GA POVABI NA KONCERT.  ;4 Dino,5 Saška,1000 Vozi?ek,217 pasaža standard (3) - B;pasaža standard (3) - B;Matino Antunovi?,Mila Peršin;2 1/4
2;Feb-18;Kemp/Janina Parcela/Pred Avtodomom;DAN-EXT.; MARK SE USTAVI PRI ?RTU. JE HVALEŽEN JANI  KER MU JE ODPUSTILA. BI SE JI RAD NEKAKO ODDOLŽIL. ?RT VE  KAKO. ;1 Mark,194 ?rt,206 KEMP STANDARD (7);KEMP STANDARD (7);Matej Zemlji?,Aljaž Tepina;1 3/8
2;Feb-19;Lj/Pasaža;DAN-INT.;SAŠKA IN DINO GRESTA ZVE?ER NA KONCERT. SAŠKA UPA  DA BOSTA POKRPALA SVOJ ODNOS. MERI BO POSKRBELA ZA VARSTVO.;18 Nina,5 Saška,6 Meri,306 Stranka kozmeti?nega salona 1,1000 Vozi?ek,228 LOKAL AA 4x 19.2.;LOKAL AA 4x 19.2.;Melani Mekicar,Mila Peršin,Vesna Pernar?i?,Tanja Mojzer;1 1/8
2;Feb-20;Kemp/Nad Plažo Pri Pomolu;DAN-EXT.;PE?NIKOV OPERATIVEC IZ ZASEDE OPAZUJE STANETA V ?OLNU.;161 Stane,250 Operativec,206 KEMP STANDARD (7);KEMP STANDARD (7);Bojan Maroševi?,Damjan M. Trbovc; 3/8
2;Feb-21;Lj/Pe?nikova Pisarna;DAN-INT.;PE?NIK OKLEVA  ALI NAJ BREZ BB-JEVEGA DOVOLJENJA DA ZELENO LU? OPERATIVCU?;15 Pe?nik;;Matija Rupel; 3/4
2;Feb-22;Kemp/Janina Parcela/Pred Avtodomom;DAN-EXT.; ?RT POVE MARKU  DA IMATA Z JANO FINAN?NI PROBLEM. MARK BI RAD POMAGAL JANI. ;1 Mark,194 ?rt,206 KEMP STANDARD (7);KEMP STANDARD (7);Matej Zemlji?,Aljaž Tepina;2 3/4
2;Feb-23;Lj/Julijino Stanovanje/Dnevna Soba;DAN-INT.; BB POVE JULIJI  DA IMA TEŽAVO. ZA USPEŠNO IZPELJAVO KONGRESA POTREBUJE JULIJINO POMO?. BO JULIJA UGODILA BB-JU?;10 Julija,19 Bb;;Sabina Kogovšek,Valter Dragan;1 1/2
2;Feb-24;Kemp/Janina Parcela/Pred Avtodomom;DAN-EXT.;MARK PONUDI JANI ODŠKODNINO. JANA JE ŠOKIRANA.;1 Mark,12 Jana,194 ?rt,206 KEMP STANDARD (7);KEMP STANDARD (7);Matej Zemlji?,Tanja Poto?nik,Aljaž Tepina;1
2;Feb-25;Lj/Dolen?evo Stanovanje/Predsoba;DAN-INT.; LARO DOMA PRI?AKA NEPRIJETNO PRESENE?ENJE.;2 Lara,252 Erika;;Gaja Fila?,Bernarda Oman; 5/8
3;03-Jan;Kemp/Janina Parcela/Pred Avtodomom;DAN-EXT.;JANA ZAVRNE MARKOVO PONUDBO Z ODŠKODNINO. ?RT JE OSUPEL.;1 Mark,12 Jana,194 ?rt,206 KEMP STANDARD (7);KEMP STANDARD (7);Matej Zemlji?,Tanja Poto?nik,Aljaž Tepina;1 3/8
3;03-Feb;Lj/Dolen?evo Stanovanje/Predsoba;DAN-INT.;LARA IZVE  DA JE JANA ODDALA NJUNO STANOVANJE. NOVA PODNAJEMNIKA STA STANE JAMNIK IN NJEGOVA ŽENA.;2 Lara,252 Erika;;Gaja Fila?,Bernarda Oman;1 3/4
3;03-Mar;Kemp/Pomol;DAN-EXT.;OPERATIVEC SE PRIPRAVLJA NA AKCIJO. STANE NE SLUTI  KAKŠNA NEVARNOST MU GROZI.;161 Stane,250 Operativec;;Bojan Maroševi?,Damjan M. Trbovc;1 5/8
3;03-Apr;Lj/Bb-Jeva Pisarna;DAN-INT.;BB SE VRNE V PISARNO. PE?NIK GA PRI?AKA NA TRNIH. GA ZANIMA  ALI JE BB-JU USPELO UREDITI TEŽAVO Z MINISTRSTVOM?;19 Bb,15 Pe?nik;;Valter Dragan,Matija Rupel; 3/4
3;03-May;Kemp/Janina Parcela/Pred Avtodomom;DAN-EXT.;JANA POVE ?RTU  DA V RESNICI NIMA DENARJA ZA ARO  A GA NE MISLI VZETI OD MARKA. ?RT JEZEN ODIDE SLIKAT.;12 Jana,194 ?rt,206 KEMP STANDARD (7);KEMP STANDARD (7);Tanja Poto?nik,Aljaž Tepina;1 3/4
3;03-Jun;Kemp/Pri Milenini Klopci;DAN-EXT.;MARK POVE EDIJU  DA JE PONUDIL JANI ODŠKODNINO. IN DA JE PRED SODIŠ?EM SRE?AL LARO. MARKA PREGANJAJO NJENE BESEDE.;1 Mark,3 Edvard,207 NI STATISTOV;NI STATISTOV;Matej Zemlji?,Aleš Vali?;1 7/8
3;03-Jul;Kemp/Pomol;DAN-EXT.;OPERATIVEC SE S STANETOM ODPRAVLJA NA MORJE  KO DOBI PE?NIKOVO SPORO?ILO. AKCIJA JE PREKLICANA.;161 Stane,250 Operativec,206 KEMP STANDARD (7);KEMP STANDARD (7);Bojan Maroševi?,Damjan M. Trbovc;1
3;03-Aug;Lj/Bb-Jeva Pisarna;DAN-INT.;PE?NIK BI PROSLAVIL DOBRO NOVICO S ŠEFOM. BB GA POSTAVI NA NJEGOVO MESTO. NI ŠE ?AS ZA PROSLAVLJANJE.;19 Bb,15 Pe?nik;;Valter Dragan,Matija Rupel;1 7/8
3;03-Sep;Lj/Pasaža/Lokal;DAN-INT.;NINO NJEN NOVI FANT POVABI NA SALSO. ŽANOVE NA?RTE PREKRIŽA LARIN PRIHOD. LARA POTREBUJE NININO TOLAŽBO.;2 Lara,18 Nina,253 Žan,227 LOKAL A 3x 19.2.,228 LOKAL AA 4x 19.2.;LOKAL A 3x 19.2.,LOKAL AA 4x 19.2.;Gaja Fila?,Melani Mekicar,Domen Novak;2 1/8
3;03-Oct;Kemp/Pri Milenini Klopci;DAN-EXT.;EDVARDA SKRBI ZA MARKA  KI GA JE SRE?ANJE Z LARO VRGLO IZ TIRA. MARK GA POMIRI. MARK JE SRE?EN Z MIO  NE BO JE SPUSTIL IZ ROK.;1 Mark,3 Edvard,207 NI STATISTOV;NI STATISTOV;Matej Zemlji?,Aleš Vali?;2 3/4
3;03-Nov;Kemp/Pot ?ez Kemp;DAN-EXT.;MARK SE VRNE DO MIE. POMIRI NJENE DVOME IN JI ZAGOTOVI  DA JE LARA PRETEKLOST.;1 Mark,21 Mia,206 KEMP STANDARD (7);KEMP STANDARD (7);Matej Zemlji?,Zala Djuri?;1 1/2
3;03-Dec;Lj/Pasaža/Lokal;DAN-INT.;LARA POVE NINI O SRE?ANJU Z MARKOM IN O TEM  DA JE JANA ODDALA NJUNO STANOVANJE. NINA JE ŠOKIRANA.;2 Lara,18 Nina,253 Žan,227 LOKAL A 3x 19.2.,228 LOKAL AA 4x 19.2.;LOKAL A 3x 19.2.,LOKAL AA 4x 19.2.;Gaja Fila?,Melani Mekicar,Domen Novak;2 1/2
