03-12;Lj/Pasaža/Lokal;DAN-INT.;2 Lara,18 Nina,253 Žan,227 LOKAL A 3x 19.2.,228 LOKAL AA 4x 19.2.;Gaja Filač,Melani Mekicar,Domen Novak;LOKAL A 3x 19.2.,LOKAL AA 4x 19.2.
03-13;Lj/Julijino Stanovanje/Jedilnica;DAN-INT.;10 Julija,251 Roman;Sabina Kogovšek,Uroš Smolej;ni STATISTOV
03-14;Kemp/Klubska soba;DAN-INT.;1 Mark,21 Mia,207 NI STATISTOV;Matej Zemljič,Zala Djurić;NI STATISTOV
03-15;Lj/Pasaža/Lokal;DAN-INT.;2 Lara,18 Nina,253 Žan,227 LOKAL A 3x 19.2.,228 LOKAL AA 4x 19.2.;Gaja Filač,Melani Mekicar,Domen Novak;LOKAL A 3x 19.2.,LOKAL AA 4x 19.2.
03-16;Lj/Julijino Stanovanje/Jedilnica;DAN-INT.;10 Julija,251 Roman;Sabina Kogovšek,Uroš Smolej;ni STATISTOV
03-17;Lj/Klub;DAN-INT.;2 Lara,254 Barman,208 KLUB STATISTI (?);Gaja Filač;KLUB STATISTI (?)
03-18;Kemp/Plaža Pod Barom;DAN-EXT.;12 Jana,194 Črt,206 KEMP STANDARD (7);Tanja Potočnik,Aljaž Tepina;KEMP STANDARD (7)
03-19;Lj/Pasaža/Lokal;DAN-INT.;2 Lara,4 Dino,227 LOKAL A 3x 19.2.,228 LOKAL AA 4x 19.2.;Gaja Filač,Matino Antunović;LOKAL A 3x 19.2.,LOKAL AA 4x 19.2.
03-20;Kemp/Klubska soba;DAN-INT.;1 Mark,21 Mia,207 NI STATISTOV;Matej Zemljič,Zala Djurić;NI STATISTOV
03-21;Kemp/Plaža Pod Barom;DAN-EXT.;12 Jana,194 Črt,206 KEMP STANDARD (7);Tanja Potočnik,Aljaž Tepina;KEMP STANDARD (7)
03-22;Lj/Pasaža;NOČ-INT;5 Saška;Mila Peršin;ni STATISTOV
03-23;Lj/Klub;NOČ-INT.;2 Lara,4 Dino,254 Barman,208 KLUB STATISTI (?);Gaja Filač,Matino Antunović;KLUB STATISTI (?)
03-24;Lj/Bistro Lotus/Separe;NOČ-INT.;10 Julija,19 Bb,411 Natakarica,300 STATISTI LOTUS A 6x 10.4.;Sabina Kogovšek,Valter Dragan,Ksenija Žunić;STATISTI LOTUS A 6x 10.4.
03-25;Lj/Pasaža;NOČ-INT.;5 Saška;Mila Peršin;ni STATISTOV
03-26;Lj/Klub;NOČ-INT.;2 Lara,4 Dino,254 Barman,255 Vid,208 KLUB STATISTI (?);Gaja Filač,Matino Antunović,Gašper Lovrec;KLUB STATISTI (?)
04-01;Lj/Bistro Lotus/Separe;NOČ-INT.;10 Julija,19 Bb,411 Natakarica,300 STATISTI LOTUS A 6x 10.4.;Sabina Kogovšek,Valter Dragan,Ksenija Žunić;STATISTI LOTUS A 6x 10.4.
04-02;Lj/Klub;NOČ-INT;2 Lara,4 Dino,254 Barman,255 Vid,208 KLUB STATISTI (?);Gaja Filač,Matino Antunović,Gašper Lovrec;KLUB STATISTI (?)
04-03;Lj/Bistro Lotus/Separe;NOČ-INT.;10 Julija,19 Bb,411 Natakarica,300 STATISTI LOTUS A 6x 10.4.;Sabina Kogovšek,Valter Dragan,Ksenija Žunić;STATISTI LOTUS A 6x 10.4.
04-04;Lj/Klub;NOČ-INT;2 Lara,254 Barman,255 Vid,208 KLUB STATISTI (?);Gaja Filač,Gašper Lovrec;KLUB STATISTI (?)
04-05;Kemp/Naravna plaža;DAN-EXT.;ni likov;ni igralcev;ni STATISTOV
04-06;Kemp/Naravna Plaža/V Vodi;DAN-EXT.;1 Mark,21 Mia;Matej Zemljič,Zala Djurić;ni STATISTOV
04-07;Lj/Pasaža/Lokal;DAN-INT.;18 Nina,253 Žan,256 Lastnik Starinarnice,229 LOKAL B 1x 19.2.,230 LOKAL BB 3x 19.2.;Melani Mekicar,Domen Novak,Jože Drabik Jug;LOKAL B 1x 19.2.,LOKAL BB 3x 19.2.
04-08;Kemp/Edvardova parcela/Pred prikolico;DAN-EXT.;3 Edvard,161 Stane,206 KEMP STANDARD (7);Aleš Valič,Bojan Maroševič;KEMP STANDARD (7)
04-09;Lj/Julijino Stanovanje/Predsoba;DAN-INT.;10 Julija,19PS BB PS;Sabina Kogovšek,Valter Dragan;ni STATISTOV
04-10;Lj/Bb-Jeva Pisarna;DAN-INT.;19 Bb,10PS Julija PS;Valter Dragan,Sabina Kogovšek;ni STATISTOV
04-11;Kemp/Naravna plaža;DAN-EXT.;1 Mark,21 Mia,206 KEMP STANDARD (7);Matej Zemljič,Zala Djurić;KEMP STANDARD (7)
04-12;Kemp/Edvardova parcela/Pred prikolico;DAN-EXT.;3 Edvard,161 Stane,206 KEMP STANDARD (7);Aleš Valič,Bojan Maroševič;KEMP STANDARD (7)
04-13;Lj/Bb-Jeva Pisarna;DAN-INT.;19 Bb,15 Pečnik;Valter Dragan,Matija Rupel;ni STATISTOV
04-14;Kemp/Edvardova parcela/Pred prikolico;DAN-EXT.;1 Mark,21 Mia,3 Edvard,206 KEMP STANDARD (7);Matej Zemljič,Zala Djurić,Aleš Valič;KEMP STANDARD (7)
04-15;Lj/Pasaža/Lokal;DAN-INT.;2 Lara,18 Nina,229 LOKAL B 1x 19.2.,230 LOKAL BB 3x 19.2.;Gaja Filač,Melani Mekicar;LOKAL B 1x 19.2.,LOKAL BB 3x 19.2.
04-16;Lj/Kozmetični Salon/Sprejemnica;DAN-INT.;5 Saška,6 Meri,200 pasaža standard (3),1000 Voziček;Mila Peršin,Vesna Pernarčič;pasaža standard (3)
