Epizoda;Prizor;Lokacija;Okoliščine;Opis;Liki;Statisti;Igralci;Število strani scenarija
17;17-03;Lj/Kovačeva Mesnica;DAN-INT.;FRENK HRVOJU ODREČE POMOČ  DA BI SE MU POMAGAL ZNEBITI MERI IZ KEMPA.;7 Frenk,14OFF Hrvoje Off,17 Kevin,200 pasaža standard (3);pasaža standard (3);Gaber Trseglav,Alen Šalinović,Patrik Novak;1 6/8
17;17-04;Kemp/Bar Na Plaži;DAN-EXT.;HRVOJE NE VE  KAJ NAREDITI GLEDE MERI. DINO VZTRAJA  NEKAJ JE PAČ TREBA.;14 Hrvoje,4 Dino,5 Saška,206 KEMP STANDARD (7);KEMP STANDARD (7);Alen Šalinović,Matino Antunović,Mila Peršin;1 5/8
17;17-05;Lj/Pečnikova Pisarna;DAN-INT.;PEČNIK SPREJME VISOKO CENO  OPERATIVEC SE LOTI DEŠIFRIRANJA.;15 Pečnik,250 Operativec;;Matija Rupel,Damjan M. Trbovc;1 4/8
17;17-06;Lj/Dolenčevo Stanovanje/Predsoba;DAN-INT.;EDIJA V STANOVANJE NAMESTO ERIKE SPUSTI SANJA;3 Edvard,258 Sanja;;Aleš Valič,Nina Rakovec;1 4/8
17;17-07;Kemp/Bar Na Plaži;DAN-EXT.;DINO JE SLABE VOLJE ZARADI MERI  SAŠKA PA NASPROTNO - JI JE TRENUTNO PRAV OKEJ TAKO  KOT JE.;4 Dino,5 Saška,206 KEMP STANDARD (7);KEMP STANDARD (7);Matino Antunović,Mila Peršin;2 2/8
17;17-08;Lj/Steinerjeva Klinika/Sprejemnica;DAN-INT.;"MIA DOBI IDEJO ZA ""DOUBLE DATE"".";2 Lara,21 Mia,257 Dr. Mirt;;Gaja Filač,Zala Djurić,Žiga Udir;2 2/8
17;17-09;Lj/Steinerjeva Klinika/Pisarna/Ordinacija;DAN-INT.;MIA PREHITI MARKA S SVOJO REŠITVIJO. LARI BO NAŠLA FANTA.;1 Mark,21 Mia;;Matej Zemljič,Zala Djurić;2 2/8
17;17-10;Lj/Pečnikova Pisarna;DAN-INT.;DEŠIFRIRANJE USB KLJUČA JE NEUSPEŠNO. POSKUSITI BOSTA MORALA DRUGAČE.;15 Pečnik,250 Operativec;;Matija Rupel,Damjan M. Trbovc;2 2/8
17;17-11;Lj/Dolenčevo Stanovanje/Dnevna Soba;DAN-INT.; EDI PREGOVORI SANJO  DA MU DOVOLI V STANETOV KABINET.;3 Edvard,258 Sanja;;Aleš Valič,Nina Rakovec;2 2/8
17;17-12;Kemp/Bar Na Plaži;DAN-EXT.;SAŠKA DINA PREPRIČUJE  DA IMATA TUKAJ PRAVI RAJ NA ZEMLJI. DINO ŽE SKORAJ KUPI NJENO TEORIJO  KO JU SPET ZMOTI MERI.;4 Dino,5 Saška,6 Meri,206 KEMP STANDARD (7);KEMP STANDARD (7);Matino Antunović,Mila Peršin,Vesna Pernarčič;3 7/8
17;17-13;Lj/Pečnikova Pisarna;DAN-INT.; PEČNIK IN OPERATIVEC VDRETA V STANETOV MAIL  A TAM NE NAJDETA NIČ. ;15 Pečnik,250 Operativec;;Matija Rupel,Damjan M. Trbovc;1 6/8
17;17-14;Lj/Dolenčevo Stanovanje/Dnevna Soba;DAN-INT.;EDI JE NAŠEL STANETOV TELEFON  A GA PRI TEM SKORAJ ZASAČI ERIKA.;3 Edvard,252 Erika,258 Sanja;;Aleš Valič,Bernarda Oman,Nina Rakovec;1 3/8
17;17-15;Kemp/Recepcija;DAN-INT.;DINO MOLEDUJE HRVOJA  NAJ SE ZNEBI MERI. HRVOJE IMA REŠITEV  OBLJUBI  DA SE BO ON ZNEBIL MERI.;14 Hrvoje,4 Dino;;Alen Šalinović,Matino Antunović;1 5/8
17;17-16;Lj/Dolenčevo Stanovanje/Dnevna Soba;DAN-INT.; ERIKA NAPODI EDIJA. ZASLIŠUJE SANJO  KAJ JE POČEL V STANOVANJU. SANJA SE ČUDI  ZAKAJ JE ERIKA TAKO SOVRAŽNA DO EDIJA.;3 Edvard,252 Erika,258 Sanja;;Aleš Valič,Bernarda Oman,Nina Rakovec;1 6/8
17;17-17;Lj/Pasaža/Lokal;DAN-INT.;LARA ŠOKIRA NINO Z INFORMACIJO  DA JE SPREJELA JOB NA STEINERJEVI KLINIKI.;2 Lara,18 Nina,210 LOKAL STANDARD (4);LOKAL STANDARD (4);Gaja Filač,Melani Mekicar;1 5/8
17;17-18;Kemp/Kovačeva Parcela/Pred Prikolico;DAN-EXT.;HRVOJE SE POSKUŠA ZNEBIT MERI Z LAŽNIM RAZLOGOM ZA DVOJNO POVIŠANJE CENE PAVŠALA.;14 Hrvoje,6 Meri,206 KEMP STANDARD (7);KEMP STANDARD (7);Alen Šalinović,Vesna Pernarčič;1 1/8
17;17-19;Lj/Dolenčevo Stanovanje/Dnevna Soba;DAN-INT.;ERIKA RAZLOŽI SANJI SVOJE PREPRIČANJE  DA JE EDI KRIV ZA STANETOVO SMRT.;252 Erika,258 Sanja;;Bernarda Oman,Nina Rakovec;0 7/8
17;17-20;Lj/Vila/Vhodna Veža s Stopniščem;DAN-INT.;EDIJA DOMA PRIČAKA ČLOVEK IZ PREMIERJEVEGA KABINETA.;3 Edvard,325 Premierjev Človek;;Aleš Valič,Stane Berlec;1
17;17-21;Lj/Pasaža/Lokal;DAN-INT.;NINA SPODBUDI LARO  NAJ SPREJME MIINO VABILO NA PIJAČO.;2 Lara,18 Nina,210 LOKAL STANDARD (4);LOKAL STANDARD (4);Gaja Filač,Melani Mekicar;2 7/8
17;17-22;Kemp/Kovačeva Parcela/Pred Prikolico;DAN-EXT.; MERI SE HRVOJU NE PUSTI IZSILJEVAT - ZAGROZI MU Z ODVETNIKI.;14 Hrvoje,6 Meri,206 KEMP STANDARD (7);KEMP STANDARD (7);Alen Šalinović,Vesna Pernarčič;0 6/8
17;17-23;Lj/Markova Garsonjera/Dnevni Del;DAN-INT.;MIA PREJME LARIN KLIC - LARA SPREJME VABILO NA PIJAČO.;2OFF Lara Off,1 Mark,21 Mia;;Gaja Filač,Matej Zemljič,Zala Djurić;1 1/8
17;17-24;Lj/Pasaža/Lokal;DAN-INT.;NINA JE PONOSNA NA LARO  DA JE SPREJELA VABILO NA VEČERJO.;2 Lara,18 Nina,210 LOKAL STANDARD (4);LOKAL STANDARD (4);Gaja Filač,Melani Mekicar;0 5/8
17;17-25;Kemp/Janina Parcela/Pred Avtodomom;DAN-EXT.;HRVOJE PRIDE PO TOLAŽBO K JANI NA JOGO.;14 Hrvoje,12 Jana;;Alen Šalinović,Tanja Potočnik;0 5/8
17;17-26;Lj/Bistro Lotus;DAN-INT.;LARO NA VEČERJI PRIČAKA PRESENEČENJE - MIA JE ZANJO PRIPELJALA DEJT.;2 Lara,1 Mark,21 Mia,257 Dr. Mirt,202 Natakar,298 LOTUS A 6x 6.4.;Natakar,LOTUS A 6x 6.4.;Gaja Filač,Matej Zemljič,Zala Djurić,Žiga Udir;0 5/8
17;17-27;Lj/Edvardovo Stanovanje/Dnevna Soba;DAN-INT.;EDI DOBI PONUDBO  DA POSTANE NOVI MINISTER.;3 Edvard,325 Premierjev Človek;;Aleš Valič,Stane Berlec;0 5/8
18;18-01;Lj/Edvardovo Stanovanje/Dnevna Soba;DAN-INT.; EDVARD ZAVRNE MINISTRSKI POLOŽAJ. ;3 Edvard,325 Premierjev Človek;;Aleš Valič,Stane Berlec;1 1/8
18;18-02;Lj/Bistro Lotus;DAN-INT.;LARI NI VŠEČ  DA JI JE MIA PRIPRAVILA DVOJNI ZMENEK PRESENEČENJA. DR. MIRT NANJO NE NAREDI NAJBOLJŠEGA VTISA.;2 Lara,1 Mark,21 Mia,257 Dr. Mirt,202 Natakar,298 LOTUS A 6x 6.4.;Natakar,LOTUS A 6x 6.4.;Gaja Filač,Matej Zemljič,Zala Djurić,Žiga Udir;2
18;18-03;Kemp/Ex Renatova Parcela/Pred Prikolico;DAN-EXT;DINO NAČRTUJE ROMANTIČNI VEČER S SAŠKO. MERI SE POVABI ZRAVEN.;4 Dino,5 Saška,6 Meri,206 KEMP STANDARD (7);KEMP STANDARD (7);Matino Antunović,Mila Peršin,Vesna Pernarčič;1 7/8
18;18-04;Lj/Edvardovo Stanovanje/Dnevna Soba;DAN-INT.; EDVARD POKLIČE NA POMOČ DAVIDA  DA BI MU POMAGAL ODKLENITI STANETOV TELEFON.;3 Edvard,11 David;;Aleš Valič,Blaž Valič;1 5/8
18;18-05;Lj/Dolenčevo Stanovanje/Dnevna Soba;DAN-INT.;ERIKO ZANIMA  OD KJE SANJA POZNA BOJANA BOŽIČA. SANJA SE IZOGNE ODGOVORU.;252 Erika,258 Sanja;;Bernarda Oman,Nina Rakovec;3 1/8
18;18-06;Lj/Bistro Lotus;DAN-INT.;DR.MIRTU JE LARA VSE BOLJ VŠEČ. MARKU IN LARI PA SKUPNA VEČERJA ODPIRA STARE RANE.;2 Lara,1 Mark,21 Mia,257 Dr. Mirt,202 Natakar,298 LOTUS A 6x 6.4.;Natakar,LOTUS A 6x 6.4.;Gaja Filač,Matej Zemljič,Zala Djurić,Žiga Udir;3
18;18-07;Kemp/Janina Parcela/Pred Avtodomom;DAN-EXT.; HRVOJE POVABI JANO NA VEČERJO. JANA SPREJME POVABILO.;14 Hrvoje,12 Jana,206 KEMP STANDARD (7);KEMP STANDARD (7);Alen Šalinović,Tanja Potočnik;2 1/8
18;18-08;Kemp/Ex Renatova Parcela/Pred Prikolico;DAN-EXT;MERI RAZKRIJE SVOJE NAČRTE  DA BO OSTALA V KEMPU DO KONCA SEZONE. DINU SE MEŠA.;4 Dino,5 Saška,6 Meri,206 KEMP STANDARD (7);KEMP STANDARD (7);Matino Antunović,Mila Peršin,Vesna Pernarčič;2
18;18-09;Lj/Dolenčevo Stanovanje/Dnevna Soba;DAN-INT.;PEČNIK PRIDE DO ERIKE PO STANETOV TELEFON. LAŽE  DA JE STANETOV SODELAVEC Z MINISTRSTVA.;15 Pečnik,252 Erika;;Matija Rupel,Bernarda Oman;1 2/8
18;18-10;Lj/Edvardovo Stanovanje/Jedilnica;DAN-INT.; DAVID USPE ODKLENITI STANETOV TELEFON. EDVARD SE LOTI ISKANJA STANETOVEGA STIKA V BRUSLJU. ;3 Edvard,11 David;;Aleš Valič,Blaž Valič;1 5/8
18;18-11;Lj/Bistro Lotus;DAN-INT.;DR. MIRT BI POVABIL LARO NA NOV ZMENEK. MII SE ZDI  DA BI BILA LEP PAR. MARKU NI ČISTO VSEENO.;2 Lara,1 Mark,21 Mia,257 Dr. Mirt,202 Natakar,298 LOTUS A 6x 6.4.;Natakar,LOTUS A 6x 6.4.;Gaja Filač,Matej Zemljič,Zala Djurić,Žiga Udir;2
18;18-12;Kemp/Restavracija;DAN-INT.; HRVOJE PRIPRAVLJA ROMANTIČNO VEČERJO ZA JANO  OBUPANI DINO PA BI SE POSLUŽIL SKRAJNIH PRIJEMOV  DA SE ZNEBI MERI. ;14 Hrvoje,4 Dino,206 KEMP STANDARD (7);KEMP STANDARD (7);Alen Šalinović,Matino Antunović;1 5/8
18;18-13;Lj/Dolenčevo Stanovanje/Kabinet;DAN-INT.; SANJA NE NASEDE PEČNIKU. ŽELI PREVERITI NA MINISTRSTVU NJEGOVO ZGODBO. PEČNIK SE ZNAJDE V ZAGATI. ;15 Pečnik,252 Erika,258 Sanja;;Matija Rupel,Bernarda Oman,Nina Rakovec;1 5/8
18;18-14;Lj/Edvardovo Stanovanje/Dnevna Soba;DAN-INT.; EDVARD POKLIČE STANETOVEGA ČLOVEKA V BRUSLJU  A NALETI NA NEZAUPANJE.;3 Edvard,11 David,326OFF (angleško govoreči) Moški Off;;Aleš Valič,Blaž Valič;1 2/8
18;18-15;Kemp/Restavracija;DAN-INT.; HRVOJE NIMA ČASA ZA DINOVE PROBLEME Z MERI. DINO PA OB POGLEDU NA USMRAJENE RIBE DOBI IDEJO. ;14 Hrvoje,4 Dino,206 KEMP STANDARD (7);KEMP STANDARD (7);Alen Šalinović,Matino Antunović;1 4/8
18;18-16;Lj/Bistro Lotus;DAN-INT.;DR. MIRT POVABI LARO NA ZMENEK. LARA SE ZLAŽE  DA ŽE IMA FANTA.;2 Lara,1 Mark,21 Mia,257 Dr. Mirt,202 Natakar,298 LOTUS A 6x 6.4.;Natakar,LOTUS A 6x 6.4.;Gaja Filač,Matej Zemljič,Zala Djurić,Žiga Udir;1 5/8
18;18-17;Lj/Dolenčevo Stanovanje/Kabinet;DAN-INT.; ERIKA SE POTEGNE ZA PEČNIKA IN GA IZVLEČE IZ ZAGATE  PEČNIK PA IZVE ZA EDIJEV POPOLDANSKI OBISK PRI JAMNIKOVIH. ;15 Pečnik,252 Erika,258 Sanja;;Matija Rupel,Bernarda Oman,Nina Rakovec;1 5/8
18;18-18;Lj/Edvardovo Stanovanje/Dnevna Soba;DAN-INT.; DAVID SPODBUJA EDIJA  NAJ SPREJME MINISTRSKI STOLČEK. EDI ŽELI LE DOKONČATI STANETOV PROJEKT RUŠENJA BB-JA.;3 Edvard,11 David;;Aleš Valič,Blaž Valič;1 5/8
18;18-19;Lj/Nadino Stanovanje/Dnevni Del;NOČ-INT.;LARA SE VRNE Z VEČERJE Z GRENKIM PRIOKUSOM.;2 Lara,13 Nada;;Gaja Filač,Aleksandra Balmazović;1 6/8
18;18-20;Lj/Markova Garsonjera/Dnevni Del;NOČ-INT.; MIO ZANIMA  KAKŠEN JE LARIN NOVI FANT. MARKU NI DO POGOVORA O LARINEM LJUBEZENSKEM ŽIVLJENJU. ;1 Mark,21 Mia;;Matej Zemljič,Zala Djurić;2 1/8
18;18-21;Kemp/Janina Parcela/Pred Avtodomom;NOČ-EXT.; JANA SE ODPRE HRVOJU. ŽELI HRVOJU  DA BI TUDI ON NAŠEL LJUBEZEN. HRVOJE NIMA POGUMA  DA BI SE JI IZPOVEDAL. ;14 Hrvoje,12 Jana,206 KEMP STANDARD (7);KEMP STANDARD (7);Alen Šalinović,Tanja Potočnik;2 1/8
18;18-22;Lj/Nadino Stanovanje/Dnevni Del;NOČ-INT.;LARA GRE V LJUBEZNI PO NADINIH STOPINJAH - OSTALA BO SAMSKA. NADO TO SPOMNI NA DAVIDA.;2 Lara,13 Nada;;Gaja Filač,Aleksandra Balmazović;1 6/8
18;18-23;Lj/Markova Garsonjera/Spalni Del;NOČ-INT.;MARK NE MORE SPATI. RAZMIŠLJA O LARI.;1 Mark,21 Mia;;Matej Zemljič,Zala Djurić;0 2/8
18;18-24;Kemp/Ex Renatova Parcela/Pred Prikolico;NOČ-EXT;SAŠKA TRDNO SPI  DINO PA SE ODPRAVI NA MAŠČEVALNI POHOD.;4 Dino;;Matino Antunović;0 4/8
18;18-25;Kemp/Kovačeva Parcela/Za Prikolico;NOČ-EXT.; DINO PRIPRAVLJA MERI NEPRIJETNO PRESENEČENJE. ;4 Dino,6OFF Meri Off;;Matino Antunović,Vesna Pernarčič;0 4/8
18;18-26;Lj/Edvardovo Stanovanje/Dnevna Soba;NOČ-INT.; EDVARDA ZBUDI KLIC S SKRITE ŠTEVILKE. UPA  DA KLIČE STANETOV ČLOVEK IZ BRUSLJA. ;3 Edvard;;Aleš Valič;0 5/8
18;18-27;Lj/Pečnikova Pisarna;NOČ-INT.;PEČNIK UGOTOVI  DA JE STANETOV TELEFON - PRI EDVARDU!;15 Pečnik,3OFF Edvard Off;;Matija Rupel,Aleš Valič;0 3/8
19;19-01;Kemp/Janina Parcela/Pred Avtodomom;DAN-EXT.; HRVOJE SE PREBUDI PRI JANI.;14 Hrvoje,12 Jana,206 KEMP STANDARD (7);KEMP STANDARD (7);Alen Šalinović,Tanja Potočnik;1 3/8
19;19-02;Kemp/Kovačeva Parcela/Pred Prikolico;DAN-EXT.; MERI JE SLABO SPALA - NEKAJ V BLIŽINI GROZNO SMRDI.;6 Meri,206 KEMP STANDARD (7);KEMP STANDARD (7);Vesna Pernarčič;0 4/8
19;19-03;Lj/Julijino Stanovanje/Kuhinja;DAN-INT.;BB NAVSEZGODAJ PRESENETI JULIJO Z DARILOM S ŠVEDSKE.;10 Julija,19 Bb;;Sabina Kogovšek,Valter Dragan;1 4/8
19;19-04;Lj/Dolenčevo Stanovanje/Dnevna Soba;DAN-INT.; SANJI ŠE KAR NE DA MIRU VČERAJŠNJI PEČNIKOV OBISK  HOČE OD ERIKE IZVEDET  KDO JE BIL TA TIP?;252 Erika,258 Sanja;;Bernarda Oman,Nina Rakovec;2
19;19-05;Lj/Edvardovo Stanovanje/Kuhinja;DAN-INT.; DAVID POVE  DA JE BIL V LOVU NA STANETOV BRUSELJSKI KONTAKT NEUSPEŠEN.;3 Edvard,11 David;;Aleš Valič,Blaž Valič;2 1/8
19;19-06;Lj/Steinerjeva Klinika/Sprejemnica;DAN-INT.; MIA BI RADA OD LARE IZVEDELA VSE O NJENEM NOVEM FANTU. LARA SE MUČI Z OPISOVANJEM IZMIŠLJENEGA TIPA.;2 Lara,1 Mark,21 Mia;;Gaja Filač,Matej Zemljič,Zala Djurić;3 1/8
19;19-07;Lj/Julijino Stanovanje/Kuhinja;DAN-INT.;BB POKLONI JULIJI DRAG PRSTAN  A BOLJ GA V RESNICI ZANIMA  KDO SE POTEGUJE ZA MINISTRSKI POLOŽAJ.;10 Julija,19 Bb;;Sabina Kogovšek,Valter Dragan;2 2/8
19;19-08;Lj/Dolenčevo Stanovanje/Kabinet;DAN-INT.;SANJA NA MINISTRSTVU PREVERJA  ČE SO RES ONI POSLALI KOGA PO STANETOV TELEFON?;258 Sanja,327OFF Tajnica Ministrstva Off;;Nina Rakovec,Petra Bauman;1 4/8
19;19-09;Kemp/Kovačeva Parcela/Pred Prikolico;DAN-EXT.; MERI POD PRIKOLICO NAJDE SMRDLJIVE RIBE. ZBUDI DINA IN SAŠKO.;4 Dino,5 Saška,6 Meri,206 KEMP STANDARD (7);KEMP STANDARD (7);Matino Antunović,Mila Peršin,Vesna Pernarčič;2 1/8
19;19-10;Lj/Julijino Stanovanje/Predsoba;DAN-INT.;BB OD JULIJE IZVE  DA SO EDIJU PONUDILI MESTO MINISTRA  IN DOBI IDEJO  PRI KOM MORA LOBIRATI ZA PODPORO.;10 Julija,19 Bb;;Sabina Kogovšek,Valter Dragan;1 2/8
19;19-11;Lj/Edvardovo Stanovanje/Dnevna Soba;DAN-INT.;EDI IN DAVID NA STANETOVEM TELEFONU NAJDETA ZANIMIV ZAPIS  KODO Xz!FARM20#;3 Edvard,11 David;;Aleš Valič,Blaž Valič;1 5/8
19;19-12;Lj/Dolenčevo Stanovanje/Kabinet;DAN-INT.; SANJA PRIJAVI KRAJO STANETOVEGA TELEFONA NA POLICIJO.;258 Sanja;;Nina Rakovec;0 4/8
19;19-13;Lj/Steinerjeva Klinika/Sprejemnica;DAN-INT.; MIA SPET VRTA V LARO O NJENEM FANTU - IN GA NA VSAK NAČIN ŽELI SPOZNATI.;2 Lara,21 Mia;;Gaja Filač,Zala Djurić;1 7/8
19;19-14;Kemp/Recepcija;DAN-INT.; MERI OBTOŽI HRVOJA  DA JI JE PODTAKNIL SMRDLJIVE RIBE. ;14 Hrvoje,6 Meri,328 Gospa,206 KEMP STANDARD (7);KEMP STANDARD (7);Alen Šalinović,Vesna Pernarčič;2 7/8
19;19-15;Lj/Bistro Lotus;DAN-INT.; BB ROMANU POVE  DA ŽELI ON SAM POSTATI NOVI MINISTER. ;251 Roman,19 Bb,411 Natakarica,300 STATISTI LOTUS A 6x 10.4.;STATISTI LOTUS A 6x 10.4.;Uroš Smolej,Valter Dragan,Ksenija Žunić;2 5/8
19;19-16;Kemp/Janina Parcela/Pred Avtodomom;DAN-EXT.;" JANA POTRDI HRVOJEV ""ALIBI"" - CELO NOČ JE BIL PRI NJEJ  ZATO ON NI MOGEL PODTAKNITI SMRDLJIVIH RIB.";14 Hrvoje,12 Jana,6 Meri,206 KEMP STANDARD (7);KEMP STANDARD (7);Alen Šalinović,Tanja Potočnik,Vesna Pernarčič;1 3/8
19;19-17;Kemp/Ex Renatova Parcela/Pred Prikolico;DAN-EXT.; DINO IMA SLABO VEST ZARADI SMRDLJIVIH RIB. POJAVI PA SE SMRTNO RESNI FRENK  KI IŠČE MERI.;7 Frenk,4 Dino,5 Saška,206 KEMP STANDARD (7);KEMP STANDARD (7);Gaber Trseglav,Matino Antunović,Mila Peršin;1 2/8
19;19-18;Lj/Pasaža/Lokal;DAN-INT.; NINA NAGOVARJA LARO  NAJ SI NAJDE TIPA  DA BO PRED MIO ODIGRAL NJENEGA FANTA.;2 Lara,18 Nina,210 LOKAL STANDARD (4);LOKAL STANDARD (4);Gaja Filač,Melani Mekicar;1 7/8
19;19-19;Lj/Julijino Stanovanje/Dnevna Soba;DAN-INT.;NA JULIJINIH VRATIH POZVONI POLICIJA.;10 Julija,16 Ela,11 David,329 Policist 1,330 Policist 2;;Sabina Kogovšek,Mei Rabič,Blaž Valič,Igor Korošec,Andrej Zakrajšek;1 4/8
19;19-20;Lj/Bistro Lotus;DAN-INT.;BB LOBIRA ZA ROMANOVO PODPORO PRI NJEGOVEM USTOLIČENJU NA MESTU MINISTRA ZA ZDRAVJE.;251 Roman,19 Bb,411 Natakarica,300 STATISTI LOTUS A 6x 10.4.;STATISTI LOTUS A 6x 10.4.;Uroš Smolej,Valter Dragan,Ksenija Žunić;2 3/8
19;19-21;Kemp/Janina Parcela/Pred Avtodomom;DAN-EXT.; MERI JE RAZJARJENA ZARADI POTEGAVŠČINE Z RIBAMI - JO PRESENETI FRENKOV PRIHOD V KEMP.;14 Hrvoje,12 Jana,7 Frenk,6 Meri,206 KEMP STANDARD (7);KEMP STANDARD (7);Alen Šalinović,Tanja Potočnik,Gaber Trseglav,Vesna Pernarčič;1 7/8
19;19-22;Lj/Pasaža/Lokal;DAN-INT.; LARIN POTENCIALNI LAŽNI FANT SPOROČI  DA NE BO PRIŠEL.;2 Lara,18 Nina,253 Žan,210 LOKAL STANDARD (4);LOKAL STANDARD (4);Gaja Filač,Melani Mekicar,Domen Novak;1
19;19-23;Lj/Julijino Stanovanje/Dnevna Soba;DAN-INT.;POLICIJA V DAVIDOVEM ŽEPU NAJDE STANETOV TELEFON.;10 Julija,11 David,329 Policist 1,330 Policist 2;;Sabina Kogovšek,Blaž Valič,Igor Korošec,Andrej Zakrajšek;1 3/8
19;19-24;Kemp/Janina Parcela/Pred Avtodomom;DAN-EXT.; FRENK JE JEZEN NA MERI  KER JE SAMOVOLJNO VZELA DENAR Z NJUNEGA SKUPNEGA RAČUNA.;14 Hrvoje,12 Jana,7 Frenk,6 Meri,206 KEMP STANDARD (7);KEMP STANDARD (7);Alen Šalinović,Tanja Potočnik,Gaber Trseglav,Vesna Pernarčič;1 1/8
19;19-25;Lj/Pasaža/Lokal;DAN-INT.; ŽAN SE NEPRIČAKOVANO ZNAJDE V VLOGI LARINEGA FANTA.;2 Lara,1 Mark,21 Mia,18 Nina,253 Žan,210 LOKAL STANDARD (4);LOKAL STANDARD (4);Gaja Filač,Matej Zemljič,Zala Djurić,Melani Mekicar,Domen Novak;1 2/8
19;19-26;Lj/Pečnikova Pisarna;DAN-INT.;PEČNIK POŠLJE OPREATIVCA K EDIJU PO STANETOV TELEFON.;15 Pečnik,250 Operativec;;Matija Rupel,Damjan M. Trbovc;1 1/8
20;1;;DAN-INT.;;;;;0
20;20-01;Lj/Pasaža/Lokal;DAN-INT.;MIA ZASLIŠUJE ŽANA. ŽANA PA ZANIMA  KAKO STA SE SPOZNALA MARK IN MIA. MIIN ODGOVOR MARKA IN LARO SPRAVI V ZADREGO.;2 Lara,1 Mark,21 Mia,18 Nina,253 Žan,210 LOKAL STANDARD (4);LOKAL STANDARD (4);Gaja Filač,Matej Zemljič,Zala Djurić,Melani Mekicar,Domen Novak;2
20;20-02;Lj/Julijino Stanovanje/Dnevna Soba;DAN-INT.;DAVID LAŽE POLICISTOMA  DA JE NAŠEL STANETOV TELEFON PRED HIŠO.;10 Julija,11 David,329 Policist 1,330 Policist 2;;Sabina Kogovšek,Blaž Valič,Igor Korošec,Andrej Zakrajšek;1 4/8
20;20-03;Kemp/Janina Parcela/Pred Avtodomom;DAN-EXT.;" MERI JE JEZNA NA FRENKA  KER PERE NJUNO ""UMAZANO PERILO"" PRED DRUGIMI LJUDMI. FRENK NAMESTO OPRAVIČILA DOBI PRIDIGO.";14 Hrvoje,12 Jana,7 Frenk,6 Meri,206 KEMP STANDARD (7);KEMP STANDARD (7);Alen Šalinović,Tanja Potočnik,Gaber Trseglav,Vesna Pernarčič;2 1/8
20;20-04;Lj/Pasaža/Lokal;DAN-INT.;"ŽAN SE SKORAJ ZAGOVORI PRED MIO IN MARKOM. NINA ""REŠI"" SITUACIJO IN POLIJE MIO Z RDEČIM VINOM.";2 Lara,1 Mark,21 Mia,18 Nina,253 Žan,210 LOKAL STANDARD (4);LOKAL STANDARD (4);Gaja Filač,Matej Zemljič,Zala Djurić,Melani Mekicar,Domen Novak;1 6/8
20;20-05;Lj/Julijino Stanovanje/Dnevna Soba;DAN-INT.;JULIJA JE JEZNA NA DAVIDA. IN ŠE BOLJ NA EDVARDA  SAJ JI JE JASNO  DA JE ON POTEGNIL DAVIDA V GODLJO S TELEFONOM.;10 Julija,11 David;;Sabina Kogovšek,Blaž Valič;1 5/8
20;20-06;Lj/Pečnikova Pisarna;DAN-INT.;BB JE ZADOVOLJEN  KER SE VSE ODVIJA PO NAČRTIH. KAŽE  DA BO MINISTRSKI STOLČEK KMALU NJEGOV. BB DOBI JULIJIN KLIC.;19 Bb,15 Pečnik;;Valter Dragan,Matija Rupel;2
20;20-07;Lj/Pasaža/Lokal;DAN-INT.;MIA IN MARK PO INCIDENTU Z VINOM ODIDETA  ŽAN PA JE JEZEN NA NINO  KER GA JE PRISILILA V LAŽ.;2 Lara,1 Mark,21 Mia,18 Nina,253 Žan,210 LOKAL STANDARD (4);LOKAL STANDARD (4);Gaja Filač,Matej Zemljič,Zala Djurić,Melani Mekicar,Domen Novak;2 5/8
20;20-08;Kemp/Kovačeva Parcela/Pred Prikolico;DAN-EXT.;MERI PRIČAKUJE FRENKOVO OPRAVIČILO. FRENK PA MERI SPODI S PARCELE.;7 Frenk,6 Meri,206 KEMP STANDARD (7);KEMP STANDARD (7);Gaber Trseglav,Vesna Pernarčič;2 3/8
20;20-09;Lj/Edvardovo Stanovanje/Dnevna Soba;DAN-INT.;JULIJA JIH NAPNE EDVARDU  KER JE SPRAVIL DAVIDA V TEŽAVE.;3 Edvard,10 Julija;;Aleš Valič,Sabina Kogovšek;3
20;20-10;Lj/Dolenčevo Stanovanje/Predsoba;DAN-INT.;BB PRIDE DO SANJE IN JI POVE  DA JE EDVARD UKRADEL STANETOV TELEFON TER JO OPOZORI  NAJ SE Z ERIKO PAZITA EDVARDA.;19 Bb,258 Sanja;;Valter Dragan,Nina Rakovec;1 6/8
20;20-11;Lj/Vila/Vhodna Veža s Stopniščem;DAN-INT.;MARK IN MIA OB PRIHODU DOMOV NALETITA NA RAZBURJENO JULIJO. JULIJO SKRBI  DA JIH BO EDVARD VSE SPRAVIL V TEŽAVE.;1 Mark,21 Mia,10 Julija;;Matej Zemljič,Zala Djurić,Sabina Kogovšek;1 4/8
20;20-12;Lj/Pasaža/Lokal;DAN-INT.;NINA BI OPRAVLJALA MARKA IN MIO. LARA NE ŽELI VEČ RAZMIŠLJATI O MARKU IN MII. ŽELI LE ŠE DOMOV IN V POSTELJO.;2 Lara,18 Nina,210 LOKAL STANDARD (4);LOKAL STANDARD (4);Gaja Filač,Melani Mekicar;3 3/8
