Epizoda;Prizor;Lokacija;Okoliščine;Opis;Liki;Statisti;Igralci;Število strani scenarija
01;01-17;Hr/Sodna Dvorana;DAN-INT;SODNICA RAZGLASI SVOJO ODLOČITEV - MARK NI KRIV. MARKOVI NAJBLIŽJI SE VESELIJO  LARA PA IZGINE.;2 Lara,1 Mark,21 Mia,3 Edvard,12 Jana,194 Črt,302 Sodnica,301 Odvetnica,303 Tožilec,304 Zapisnikarica,292 POLICISTA INT. 2x;POLICISTA INT. 2x;Gaja Filač,Matej Zemljič,Zala Djurić,Aleš Valič,Tanja Potočnik,Aljaž Tepina;1
01;01-18;Lj/Julijino Stanovanje/Kuhinja;DAN-INT.;JULIJA PREJME MIIN KLIC  MIA JI POVE  DA JE MARK OPROŠČEN.;10 Julija,21OFF Mia Off;;Sabina Kogovšek,Zala Djurić;1 3/8
01;01-19;Hr/Sodna Dvorana;DAN-INT;JANA JE PO ZAKLJUČKU OBRAVNAVE POTRTA. ČRT PA DOBI DOBRO NOVICO.;12 Jana,194 Črt,292 POLICISTA INT. 2x;POLICISTA INT. 2x;Tanja Potočnik,Aljaž Tepina;1 1/8
01;01-20;Hr/Pred Sodiščem;DAN-EXT.;MARK ZAGLEDA LARO  KI OČITNO LE NI BILA SAMO PRIKAZEN;2 Lara,1 Mark,291 Policaj  EXT. 1x;Policaj  EXT. 1x;Gaja Filač,Matej Zemljič;0 5/8
01;01-21;Lj/Pečnikova Pisarna;DAN-INT.;"PEČNIK SE DOBI Z ""OPERATIVCEM"" IN GA NA LASTNO PEST POŠLJE V AKCIJO.";15 Pečnik,250 Operativec;;Matija Rupel,Damjan M. Trbovc;1 5/8
01;01-22;Hr/Sodna Dvorana;DAN-INT.;ČRT ŽELI  DA JANA ZAKLJUČI STARO ZGODBO IN SE FOKUSIRA NA NJUNO PRIHODNOST.;12 Jana,194 Črt,292 POLICISTA INT. 2x;POLICISTA INT. 2x;Tanja Potočnik,Aljaž Tepina;2
01;01-23;Hr/Pred Sodiščem;DAN-EXT.;LARIN OBRAČUN Z MARKOM.;2 Lara,1 Mark,21 Mia,291 Policaj  EXT. 1x;Policaj  EXT. 1x;Gaja Filač,Matej Zemljič,Zala Djurić;2 2/8
01;01-24;Lj/Pasaža/Lokal;DAN-INT.;LARA SPOROČI NINI  DA JE MARK OPROŠČEN.LARA MORA STAT JANI OB STRANI  DO NINE PA PRIDE DINO.;18 Nina,4 Dino,2V Lara Videoklic,227 LOKAL A 3x 19.2.,228 LOKAL AA 4x 19.2.;LOKAL A 3x 19.2.,LOKAL AA 4x 19.2.;Melani Mekicar,Matino Antunović,Gaja Filač;2 2/8
01;01-24A;Hr/Pred Sodiščem;DAN-EXT;VIDEOKLIC LARE Nini - Lara po sodni obravnavi;2 Lara,18V Nina Videoklic,291 Policaj  EXT. 1x;Policaj  EXT. 1x;Gaja Filač,Melani Mekicar;2 2/8
01;01-25;Lj/Julijino Stanovanje/Dnevna Soba;DAN-INT.;JULIJA PIŠE MARKU SMS  KO JO ZMOTI HIŠNI ZVONEC.;10 Julija;;Sabina Kogovšek;0 3/8
01;01-26;Lj/Julijino Stanovanje/Predsoba;DAN-INT.;BB PRESENETI JULIJO S ŠOPKOM. ŽELI SE POBOTATI Z NJO.;10 Julija,19 Bb;;Sabina Kogovšek,Valter Dragan;0 3/8
01;01-27;Hr/Pred Sodiščem;DAN-EXT.;" JANA ODPUSTI MARKU  LARO PA PRIZADANE POGLED NA JANO  KI OBJEMA MARKA. JO ZABOLI MAMINA ""IZDAJA"". ";2 Lara,1 Mark,21 Mia,12 Jana,194 Črt,291 Policaj  EXT. 1x;Policaj  EXT. 1x;Gaja Filač,Matej Zemljič,Zala Djurić,Tanja Potočnik,Aljaž Tepina;1 6/8
